,Epoch,Loss,upper_fabric,lower_fabric,outer_fabric,upper_color,lower_color,outer_color,sleeve_len,lower_clothing_len,neckline,Accuracy
0,1.0,7.836159784991042,0.783826924648578,0.5377250020431513,0.8696668641712978,0.5786122915985615,0.7902845599051977,0.8702182596436744,0.6556776622262177,0.6584323410428244,0.48511947327558025,0.6921737087283426
1,2.0,6.052697827045183,0.7860164167211507,0.6570769655116051,0.8796461261850278,0.6244526908303367,0.8127993216737496,0.8854680859758091,0.8451952741909121,0.8536766508662962,0.617743492562929,0.7735638916130907
2,3.0,5.436846937452044,0.7869595864661655,0.6911437050506702,0.8860915025335077,0.6543483368747957,0.8237444834913371,0.8935842493461916,0.8794045235371036,0.8904477566198105,0.6621253371199738,0.7964277201155061
3,4.0,5.0894093567267396,0.7882618400621119,0.7066933638443935,0.8903014159038902,0.6679245668519124,0.8327644859431187,0.8978202128963714,0.8939887933148087,0.9048491643510952,0.691913462324289,0.8082797006102211
4,5.0,4.818629300683961,0.7892826495586792,0.716826117603792,0.8946188501144164,0.6892928653154625,0.8390885501797973,0.9039259153318078,0.9047975747793396,0.9134807126511932,0.7116602647924157,0.8181081667029892
5,6.0,4.651799666254144,0.7907516753841125,0.7214112046420398,0.8971314154952599,0.7019642346355017,0.8421890323635175,0.9070292068486434,0.9084195713468454,0.919058260460935,0.7243875653808435,0.8235935740619666
6,7.0,4.486577224014397,0.7937801364825107,0.7278499407486108,0.8980779053612292,0.7099307371690095,0.8469503412062765,0.9075811131088591,0.9132590307289964,0.9234083850931677,0.7375809598725073,0.8287131721967964
7,8.0,4.349320296954391,0.7950691095946388,0.7320598541189932,0.9013019982020268,0.7196878064727035,0.851551518061458,0.9117024047891468,0.9174689440993788,0.9268641202190259,0.748196408139915,0.8337669070774762
8,9.0,4.200752441148112,0.7976243257600524,0.7429756456358287,0.9035374611801242,0.7308584811212814,0.856499009071592,0.9135593739784243,0.9201416414678,0.9303658262504086,0.7556247956848644,0.8390207289055973
9,10.0,4.103069551008985,0.7990440605590062,0.7436833421869892,0.9058937254821837,0.7366122507355345,0.859550200228833,0.9160985003269042,0.9243122241745668,0.9318637115887545,0.7671540433965348,0.8426902287421452
10,11.0,4.027556092219245,0.8020980610493625,0.7454522004740111,0.9073949309414842,0.7402569773618829,0.8603071878064728,0.9179682392121609,0.9250924525988885,0.9338869422196796,0.7721830050670154,0.844959999636773
11,12.0,3.91441411721079,0.8045008070447859,0.7550279400948022,0.9093527807289964,0.7468037450964368,0.8636686825760053,0.9204419847172278,0.9265836976953252,0.9350063337692056,0.7766965818077803,0.848675839281174
12,13.0,3.8365957521854486,0.8052440033507683,0.7557190360411898,0.9104494422196796,0.7535162634847989,0.8666445325269696,0.921730957829356,0.9285875183883622,0.9370395247629945,0.7827203027950311,0.851294620155461
13,14.0,3.749278533727603,0.8084946571592024,0.7597366377901276,0.9128217963386728,0.7568517080745342,0.8672584995096437,0.9244036551977771,0.9306367991990847,0.9392062867767245,0.7897819446714612,0.8543546649685809
14,15.0,3.662448171386145,0.8101067035796012,0.7655619177018634,0.9138630373488068,0.7654211956521739,0.8676535939032364,0.9264302059496567,0.9337761012585812,0.9398036531546257,0.7916782445243544,0.8571438503414334
15,16.0,3.6185876883958517,0.8104491868257601,0.7704889771984308,0.9146981754658385,0.7664491561784897,0.870648853792089,0.9267660489539066,0.9325491888689115,0.9397610023700556,0.796002829764629,0.8586459354909013
16,17.0,3.544214970187137,0.8142578763484799,0.7706984002124878,0.9159089980385747,0.7692099644491665,0.8727767959300425,0.9278726708074534,0.9363540474828376,0.9448847151847009,0.8015660755148741,0.8615032826631798
17,18.0,3.495872998596134,0.8154227280156915,0.7722805655442955,0.9177593269859431,0.7757102504903562,0.8734362230304021,0.9290474828375286,0.9362498467636483,0.9437586833932657,0.8046665576985944,0.8631479627510806
18,19.0,3.4229440608418975,0.8152138157894737,0.7780565544295521,0.920219792007192,0.7788467432167375,0.8756972254004577,0.930927182085649,0.9375255393919582,0.9454882110166721,0.8067418886891141,0.8654129946696452
19,20.0,3.3453532914470014,0.8203668989048709,0.7827042129780974,0.9215480957829356,0.7839410857306309,0.8764973745505067,0.9325259480222295,0.938439338836221,0.946402010460935,0.812525028604119,0.8683277770967275
20,21.0,3.2914403237794576,0.8211399762994444,0.7864408814154953,0.9225959770349788,0.78565069262831,0.8805011850277868,0.9328916721150703,0.9417321326413861,0.9470614375612946,0.8141370750245178,0.8702390033053647
21,22.0,3.2541339872474957,0.822599552549853,0.7867184946060805,0.9236987679797319,0.7861012075024518,0.8788010277051325,0.935424158221641,0.9415137708401439,0.9482035591696633,0.8162389669826741,0.8710332783952636
22,23.0,3.203314545459317,0.8257383438215103,0.7888615049852893,0.9252426242236025,0.7930458789637137,0.8829915311376267,0.9357960117685519,0.9421106264302059,0.9490619381333769,0.8205985411899314,0.8737163334059788
23,24.0,3.1318297843287763,0.8250855569630599,0.7954281934455705,0.928225114416476,0.7961364007845702,0.8861696530728996,0.9376335710199412,0.9429036245505067,0.9498482960117686,0.8231172360248447,0.8760608495877374
24,25.0,3.095475108999955,0.8295598030402093,0.795708615969271,0.9268319405851585,0.7986068261686826,0.8856869585648905,0.9372484369892121,0.9446237025988885,0.9509676875612946,0.8253759398496241,0.877178879036359
25,26.0,3.0460406228115686,0.8318639669826741,0.7998564686171952,0.9276931288819876,0.798880608450474,0.8874785469107551,0.9387069916639424,0.9432821183393266,0.9509150764138607,0.8246383622098725,0.8781461409411211
